#---------------------------------------------------------------------------------------------------------------------------------------------------\
#     PSRJ                     RAJ                                DECJ                               DIST_DM             PX                      \
#                              (hms)                              (dms)                              (kpc)               (mas)                   \
#------------------------------------------------------------------------------------------------------------------------------------------------\
1     J0437-4715    jlh+93     04:37:15.8961737     6  rhc+16     -47:15:09.110714     7  rhc+16     0.156    ymw17      6.37      9  rhc+16     \
2     J0613-0200    lnl+95     06:13:43.975901      3  rsc+21     -02:00:47.23742      8  rsc+21     1.024    ymw17      1.01      9  rsc+21     \
3     J0614-3329    rrc+11     06:14:10.34823       2  cpb+23     -33:29:54.1312       2  cpb+23     2.691    ymw17      1.1      11  gsl+16     \
4     J0711-6830    bjb+97     07:11:54.180042      8  rsc+21     -68:30:47.36454      5  rsc+21     0.106    ymw17      *         0  *          \
5     J1017-7156    kjb+12     10:17:51.320769      6  rsc+21     -71:56:41.61508      3  rsc+21     1.807    ymw17      0.6       6  rsc+21     \
6     J1022+1001    cnst96     10:22:57.9944        9  rsc+21     +10:01:52.68         4  rsc+21     0.834    ymw17      1.55     16  rsc+21     \
7     J1024-0719    bjb+97     10:24:38.671370      4  rsc+21     -07:19:19.51217     11  rsc+21     0.382    ymw17      0.93      5  dds+23     \
8     J1045-4509    bhl+94     10:45:50.184806     11  rsc+21     -45:09:54.10425     14  rsc+21     0.334    ymw17      1.7       7  rsc+21     \
9     J1125-6014    fsk+04     11:25:55.229631      7  rsc+21     -60:14:06.69545      6  rsc+21     0.988    ymw17      0.6       3  rsc+21     \
10    J1545-4550    bbb+13     15:45:55.945458      4  rsc+21     -45:50:37.52757      8  rsc+21     2.247    ymw17      0.45     14  rsc+21     \
11    J1600-3053    jbo+07     16:00:51.903102      3  rsc+21     -30:53:49.39259     11  rsc+21     2.535    ymw17      0.53      6  rsc+21     \
12    J1603-7202    llb+96     16:03:35.675239      9  rsc+21     -72:02:32.75811      6  rsc+21     1.129    ymw17      0.3       3  rsc+21     \
13    J1643-1224    lnl+95     16:43:38.162198      5  rsc+21     -12:24:58.6723       4  rsc+21     0.791    ymw17      1.1       1  dds+23     \
14    J1713+0747    fwc93      17:13:49.5337847     4  rsc+21     +07:47:37.479763    11  rsc+21     0.919    ymw17      0.763    21  rsc+21     \
15    J1730-2304    lnl+95     17:30:21.67096       5  rsc+21     -23:04:31.155       11  rsc+21     0.512    ymw17      2.0       1  dds+23     \
16    J1744-1134    bjb+97     17:44:29.4097778    10  rsc+21     -11:34:54.71673      7  rsc+21     0.148    ymw17      2.44      5  rsc+21     \
17    J1824-2452    lbm+87     18:24:32.007904     10  rsc+21     -24:52:10.878        3  rsc+21     3.702    ymw17      0.200    11  vb21       \
18    J1857+0943    srs+86     18:57:36.390292      3  rsc+21     +09:43:17.19177      7  rsc+21     0.767    ymw17      0.85     16  rsc+21     \
19    J1909-3744    jbv+03     19:09:47.4322832     3  rsc+21     -37:44:14.583740    11  rsc+21     0.564    ymw17      0.86      1  rsc+21     \
20    J1939+2134    bkh+82     19:39:38.5611889     7  rsc+21     +21:34:59.119343    15  rsc+21     2.896    ymw17      0.35      3  dds+23     \
21    J2145-0750    bhl+94     21:45:50.459526      6  rsc+21     -07:50:18.5083       3  rsc+21     0.693    ymw17      1.40      8  rsc+21     \
22    J2241-5236    kjr+11     22:41:42.0269841    10  rsc+21     -52:36:36.239590    11  rsc+21     0.963    ymw17      0.96      4  rsc+21     \
#-------------------------------------------------------------------------------------------------------------------------------------------------
